Good movie! A little confusing at first but tje story all comes together in awesome way and makes it a really good and satisfying movie.,positive
"This movie was not as criminally bad as some might think.  It was hard to get invested overall since it took place in the past. While the character herself is very consequential, the story was not. Knowing the future of this story might have hurt it. Perhaps, had this movie was one of the first in MCU, it would have been better. Humor had its moments. I am glad it did. It was not Ragnarok levels but it was good. The biggest hit it took was being formulaic to a damaging level. Marvel had been doing a good job of keeping it as fresh as possible as of late. I think the 90's theme was supposed to help but they didn't hit you hard enough with it. Some tweaks would have made this a very good movie. Which is why it was not a very bad movie. I think that is a win.",positive
just the worst piece of garbage I have watched ion a long time.,negative
"I've always thought that most huge box-office flops usually have something to recommend them, but after the remake of Around the World in 80 Days and Thunderbirds, I'm beginning to doubt it. For those not familiar, it's based on a puppet show about a family of astronauts who use state of the art rockets, spaceships and subs to rescue people from various disasters (falling bridges, stricken planes, burning buildings, etc) each week. Well, the puppets are gone (replaced by far more lifeless teenagers), and so is the premise - only one ineptly staged rescue and a plot shamelessly ripped off from Spy Kids without any signs of imagination, wit or entertainment. Young Alan Tracey feels left out of all the rescuing we never see the other Traceys do because dad won't let him play with a real rocket until he passes his exams. Grounded on a beautiful tropical island (some punishment!), his chance to shine comes when the rest of the family - a bunch of identikit bleach-blondes who look like a gay neo-Nazi boy band without a single bit of characterisation between them - are stranded in space and he has to have the day by, er, running around the jungle, making a phone call, firing a hose at the inept comedy relief villains and dousing them in gunk for bad measure.<br /><br />The good points are few and far between. One of them is that the film is mostly in focus. The other is they all got to go to the Seychelles, which looks nice.<br /><br />The bad points: where to start? Ben Kingsley's career lowpoint performance? The aforementioned inept comedy relief sidekicks who would disgrace the Children's Film Foundation at its worst? The almost complete lack of action or effects in a $70m sci-fi film? The terrible script, the lifeless direction, the odious moralising? But most of all is the fact that the film is so patronising in every possible way. Forget the life lessons and off the peg sentiment, this is a movie aimed straight at the under-eights by people who know they're making a kid's movie and are constantly talking down to their intended audience, throwing in fifth-rate jokes and routines that would insult most children who had only recently mastered the art of speech. This film could replace being sent to bed early without their dinner as parents' favourite punishment for kids.<br /><br />The biggest flop in British film history (it didn't even cover the cost of prints and marketing), it's just about watchable if only as an object lesson in how NOT to make a summer movie.",negative
Maybe the worst MCU film ever made.  I'm including the earlyHulk films.  Does not respect source material. I ate this film.  The actress is wooden.  The plot is contrived.  Horrible,negative
Captain Marvel starts off as an interesting film. I couple great action sequences. Then as the film goes on it gets work. Captain Marvel is so powerful I feel no tension or any high stakes when the plot is playing out. Brie Larson is a mediocre actress at best and Captain Marvel has to be one of the most boring heroes in the MCU. Not a bad movie but I can't say I recommend it either.  ,negative
"Was actually pretty goodnI'm a huge fan or Carol Danvers in the comicsnand wanted to see her portrayalnwasn't the best hero movienscore is forgetable and felt a bit rushed towards the end.nBre Larson does a decent job portraying the head strong, cocky and at times witty. performance as a whole could have been better but I loved the chemesty between her and samuel l jackson. and are some of my favorite parts.nThe supporting cast was amazing Samuel Jackson, Lashana Lynch, Ben Mendobah. nFight scenes were creative and suspenceful though at times funny.nspace battles looked great and the CGI looked fine.nThe story was nothing new but done wellnI'm glad they avoided certain qliches that most moves do today for example in wonder woman Gal Gado walk around like and idiot even trying on dresses for like a half hour but here the main character lands and emediatly acts like the soldier she is and wants to comunicate with HQ and continue her mission.nOne of the first scenes in the movie which involves Carols memories shows a clever way to show us some back story of the character while showing us what kind of person she is while also progressing the story.nIs this the greatest hero movie?nnot at all, but it's a good movie and I recommend watching it if your a fan of the MCU.nIf your not you could still get some enjoyment out of the film from the humor and action peices alone.nand I am giving this movie a 6/10",positive
"I understand that this movie is made for kids and as a parent I have sat through many movies that don't particularly hold my interest, but I can appreciate from a constructive point of view in how it is being received by my children. Parents are supposed to be encouraged after all to take part in their children's activities and to monitor the quality of the entertainment that they view so there should be something that appeals to an adult audience on some level even in children's movies. Disney has always understood this which is why it is so hard to fathom how it could allow such a complete piece of drek to bear their name.<br /><br />Technically, the sound editing is horrible and all dialog sounds over-dubbed and unnatural. Personally I hate that, but it was doubly awful considering the dialog itself seemed as though it was written by a 12 year old for a school project. The ""acting"" reminded me of a school play and none of the child actors had any range of emotion in their voices. Thankfully it was a very short movie.<br /><br />Now, before I come off like a video-geek measuring a kids movie with an adult yard stick, the one thing that can save even the worst children's movie is a positive message. Far be it from me to determine how a message has to be delivered so long as the right one is. Let us take a walk through this film to see what messages are given: <br /><br />If you are lost, don't worry, you will inevitably find your way home.<br /><br />Approach wild animals without any fear.<br /><br />You can win any competition just because you ""know"" you can.<br /><br />and my favorite, the final message left in the film: <br /><br />It's okay to disobey authority figures and do what you think is right.",negative
"it MIGHT have been a good movie if it had explored something more interesting rather than just the surface of a lesbian relationship if this was the meaning of the movie...it is quite predictable not mentioning that the two girls resemble the Russian group t.A.T.u....coincidence? i don't think so. There is nothing original in this movie to support it so they had to use something which is already famous.You know the recipe. The other actors...well,i just don't know what their role is supposed to be. Most of them are well - known people in Romania and i must mention some of them are not even actors(e.g.Mihaela Radulescu).SO to summarize it: ""girl band tatty""+desperate/publicity needing ""actors""+ a non-existing plot+ the occasion to use bad language in order to shock= Love sick....too bad...the idea was good,though...and i am seriously holding myself from commenting the title...",negative
"Another Marvel action comedy comes and goes, easily one of the most forgettable films of the MCU. One must begin to wonder, when will Marvel put any new originality into its story telling? Same basic formula each time you get on this ride.",negative
